category,bname,author,tag,,,,
耽美,夢迴忘醉,藍梅西莎,虐心,耽美,戰鬥,,
百合,妳是我眼底的專注,什染,喜劇,百合,戀愛,,
奇幻,你的足跡,BK,穿越,重生,冒險,,
百合,愛，瘋了(下部),清風絮語,虐心,暗黑,百合,,
都會愛情,可以愛你嗎？,雷凱淇,甜文,女性向,,,
古代愛情,晚風輕輕,王裘郡,青梅竹馬,戀愛,,,
都會愛情,夢,黑曼,虐心,悲劇,女性向,輕小說,戀愛
都會愛情,林素,阿里里呀,女性向,日常,,,
都會愛情,?蝶,阿里里呀,甜文,青梅竹馬,戀愛,日常,
都會愛情,路邊的野薄荷,楓錚,不限,戀愛,日常,,
奇幻,夢境食用守則,瑭碧,青梅竹馬,妖怪,,,
百合,《玩火》（GL）,琉璃,女性向,百合,戀愛,,
同人,幻想偵探社,阿槍,喜劇,輕鬆,靈異神怪,輕小說,二創
玄幻,重煉傳說,阿暖,爽文,喜劇,輕鬆,冒險,輕小說
百合,這一世，情深緣淺,?如初,百合,戀愛,校園,,
驚悚推理,破唐案/裴氏手札‧續鶯鶯記,鵲頤,冒險,女性向,,,
武俠仙俠,封神修真,聖堂肥痞,爽文,暗黑,重生,男性向,戰鬥
奇幻,溫室雛鳥,風說,虐心,暗黑,療癒,戀愛,
奇幻,《心靈神衛使》第一卷 精靈樹的奇蹟-上弦月,海空,冒險,輕小說,戰鬥,異界,搞笑
藝術設計,某個冬日午後,玉如意,心情抒發,不限,療癒,,
古代愛情,遇見。日月合璧,白桵,輕鬆,穿越,戀愛,日常,
藝術設計,憶曙,凌風,輕鬆,不限,,,
羅曼史,教我談戀愛好嗎,一抹黃,不限,,,,
都會愛情,替星光送你一封匿名信,璨熹,虐心,甜文,輕鬆,戀愛,搞笑
百合,我們的那個年代(GL),開心果子,女性向,百合,心情抒發,戀愛,日常
藝術設計,隨筆。繪 & 委託開張中,飛 Fly,耽美,二創,心情抒發,不限,節操
驚悚推理,受害者的嘆息,逍墨,悲劇,輕小說,不限,,
藝術設計,hope,凝妤,不限,,,,
校園愛情,寫下我與你的戀愛故事,米依,不限,青梅竹馬,戀愛,日常,校園
歷史,情：三國,倚天筆出,暗黑,冒險,不限,戰鬥,後宮
耽美,危險關係‧夜奔,catatnight,虐心,女性向,耽美,日常,
校園愛情,內褲遺落的星期天,冰雪翎,男性向,輕小說,日常,校園,搞笑
百合,囚徒(GL),紫起司,悲劇,暗黑,百合,,
耽美,《依存症戒斷》,近別,暗黑,耽美,校園,,
百合,角落草。陽光,東 風水,虐心,暗黑,百合,戀愛,節操
同人,【HP】慢半拍的預言家小姐,桑桑,甜文,喜劇,輕鬆,重生,二創
其它,異界學園,FourTeen,輕小說,戰鬥,異界,校園,異能
奇幻,【Hololive同人】虛擬公會才不清楚,憑軒遙望,輕鬆,穿越,百合,二創,搞笑
武俠仙俠,仙王的日常生活 第三季 改編同人傳,幻影,爽文,輕小說,戰鬥,校園,異能
百合,盜海浮生,朱門九,百合,,,,
生活風格,當這些事情串成一個故事,小爛泥尼,心情抒發,,,,
都會愛情,再次,逋,穿越,重生,戀愛,異能,妖怪
同人,【HP】Mrs. Potter,沫,甜文,喜劇,穿越,重生,戀愛
耽美,夢舞荒野中,雨天之後,虐心,清水,靈異神怪,耽美,戀愛
同人,名偵探柯南  黑色旅途,望夕雨,輕小說,二創,,,
都會愛情,愛的陷阱,愛蔓,喜劇,戀愛,校園,,
軍事戰爭/災難冒險,參謀本部的異世界作戰紀錄,上榆,輕小說,戰鬥,異界,,
校園愛情,那是她九年的祕密,天向,悲劇,清水,青梅竹馬,戀愛,校園
同人,【白一西幻】the curse of roses,?月玖,冒險,女性向,二創,,
古代愛情,自言本是京城女,花笙,女性向,不限,戀愛,日常,
同人,【暗殺教室】資本家與鈔能力,畢業君,輕鬆,暗黑,二創,,
校園愛情,一起，向陽走,Suzi蘇西,甜文,輕鬆,戀愛,校園,
奇幻,開頭打倒最後邪神,茶魚味噌,男性向,輕小說,戰鬥,搞笑,
都會愛情,最佳幻想,?毛,爽文,女性向,輕小說,心情抒發,日常
奇幻,莫比烏斯的贈物,笙鳶,耽美,心情抒發,戰鬥,異能,
校園愛情,她的孩子氣,敘娜,甜文,青梅竹馬,戀愛,校園,
同人,《火影．卡卡西同人—紅葉相思》,莫緹,虐心,女性向,二創,青梅竹馬,戀愛
漫畫,女兒們,方愚,清水,女性向,輕小說,百合,療癒
心靈養生,垃圾同學會,方愚,喜劇,輕鬆,療癒,日常,搞笑
耽美,你我最終在一起的機率,Freecia,虐心,甜文,耽美,戀愛,校園
奇幻,眾道之主,小無,冒險,戰鬥,異能,,
幽默/諷喻,花色少年,青色田螺,爽文,輕鬆,心情抒發,日常,搞笑
生活風格,塔羅宇宙,RICH,爽文,輕鬆,心情抒發,不限,日常
生活風格,那天夜裡我思念著告訴我宇宙真相的妳,DYN,輕小說,心情抒發,療癒,,
羅曼史,夏?春光/夏問春光,海?汪,女性向,輕小說,療癒,日常,校園
傳記/文學史,我家姑爺不進門,于吝,輕小說,青梅竹馬,,,
奇幻,以世界為煙花，許你一場盛大的告白,無聊種子,清水,女性向,輕小說,異界,
耽美,【BL】 狼寵物,日下影,虐心,喜劇,女性向,耽美,校園
生活風格,(北市大)中英寫作線上練功房活動[個人優良作文集],小葉白筆,心情抒發,不限,療癒,日常,校園
奇幻,問題之神,闇夜星河,輕小說,,,,
同人,綜漫之開拓者,摘星杓,冒險,女性向,輕小說,戰鬥,異能
科幻,落塵,墨中曦,悲劇,冒險,戰鬥,,
古代愛情,師尊，師姐又來了！,小彥子飛走啦～,靈異神怪,戰鬥,戀愛,搞笑,妖怪
都會愛情,我們的約定,如夢初醒,甜文,戀愛,,,
生活風格,豬頭蓋森的翻譯日記,陳蓋森 GreysonChen,日常,,,,
驚悚推理,從死神手中逃離兩次的女孩,接近無限透明的藍,虐心,暗黑,冒險,女性向,不限
其它,藏壽司白帽的田野調查,文森魚,爽文,輕鬆,心情抒發,不限,日常
影視,我不是喜劇之王,時空背包客,喜劇,穿越,男性向,異界,搞笑
耽美,雙蜜雙甜,麻子,虐心,甜文,耽美,百合,戀愛
百合,厄比絲的眼[GL],三月的嫩草,爽文,清水,靈異神怪,百合,恐怖
校園愛情,如果沒有與你相遇,浦島次郎,輕鬆,心情抒發,日常,校園,
都會愛情,我只對你有感覺,舟小雨,爽文,甜文,戀愛,,
都市,末日生存,飛躍,日常,妖怪,,,
校園愛情,遺忘在那年夏季的星海,璨熹,虐心,甜文,輕鬆,暗黑,戀愛
校園愛情,《男神，你等等》,米琳,甜文,喜劇,輕鬆,,
奇幻,王之后冠,悅陽,虐心,異國,冒險,女性向,後宮
同人,【排球少年】國王殿下要娶妃了,蒼靈,青梅竹馬,戀愛,日常,校園,
都會愛情,微醺藏紅,坐著,爽文,甜文,輕鬆,女性向,戀愛
校園愛情,深深見,LaI,不限,,,,
古代愛情,長安曲,凌曉潔,甜文,冒險,不限,戰鬥,戀愛
校園愛情,飄雲不知驕陽處,夬夜,虐心,心情抒發,戀愛,,
百合,以吻噤聲,東 風水,虐心,暗黑,百合,戀愛,節操
耽美,君似朝陽,知岸,甜文,輕鬆,清水,女性向,耽美
校園愛情,中學生生活告白,Aias,療癒,日常,校園,,
耽美,武將愛神出任務,咩嚕羊,輕鬆,女性向,耽美,,
古代愛情,【穿書】反派的自我攻略,傾悠紫,清水,穿越,女性向,不限,
影視,妞妞攻略,木目,療癒,,,,
都會愛情,陌生關係,喬木,甜文,女性向,戀愛,,
古代愛情,垣情未了,陳襄,悲劇,,,,
古代愛情,戰神三世追妻,江水,虐心,甜文,輕鬆,,
百合,這輩子，讓我愛妳~,Summer,百合,,,,
耽美,微風徐徐（BL）,雨晞,輕鬆,女性向,耽美,戀愛,
藝術設計,universe,玖淒,心情抒發,不限,療癒,,
耽美,灰色的謊／防衛機制,名江,甜文,暗黑,耽美,戀愛,校園
都會愛情,久違的蠢蠢欲動,千夢,甜文,女性向,療癒,戀愛,
耽美,《星塵香》,蘿依,重生,女性向,耽美,,
科幻,時返計畫：任務一,洋蔥飯糰,輕鬆,穿越,輕小說,日常,校園
耽美,惡鬼之心,月下醉鬼,甜文,耽美,戰鬥,異能,
生活風格,魔術方塊自主學習/教學誌(初學者學習資源指引/入門到進階),小葉白筆,心情抒發,療癒,日常,校園,異能
都會愛情,原來陸先生他喜歡我,悄悄,虐心,甜文,青梅竹馬,戀愛,校園
校園愛情,只想喜歡你,漠星,虐心,療癒,校園,,
百合,【GL長篇】《與妳共飲的青春》,武佳栩,喜劇,女性向,百合,戀愛,校園
藝術設計,冬醞茶曦,點點茶,心情抒發,療癒,日常,,
同人,等待愛妳【Mikey/東卍/東京卍復仇者】,冬恒【魂】,二創,青梅竹馬,戀愛,校園,
生活風格,委託部??,點點茶,不限,療癒,,,
